Time to generate a test,Time to run a test
3.212,38.052
24.811,54.716
28.155,1453.639
3.8400000000000003,450.681
1.0070000000000001,269.117
0.628,187.281
21.509,61.382
0.27,63.865
0.421,30.268
0.296,40.057
2.097,34.498
7.752,71.157
0.438,33.190999999999995
2.002,37.731
3.062,34.566
0.741,29.017999999999997
0.347,31.851
0.785,30.405
21.318,51.98500000000001
5.4,35.056999999999995
8.368,39.05200000000001
0.358,29.416
0.26699999999999996,29.201
24.614,54.086000000000006
0.365,34.329
0.643,31.35
0.737,30.147
2.978,33.883
5.012,34.951
0.66,30.626
0.35300000000000004,29.942
0.352,31.871999999999996
0.296,30.613999999999997
0.713,30.173
7.866,1616.332
0.49299999999999994,386.812
3.229,137.58100000000002
0.434,142.641
5.146000000000001,66.041
0.317,31.201
1.522,37.083999999999996
0.759,103.667
0.315,116.552
6.204999999999999,207.69099999999997
2.5500000000000003,83.25
6.592,40.760999999999996
0.799,32.939
2.153,31.915
0.32899999999999996,32.719
0.266,31.389
0.356,29.715
0.306,35.232
0.41100000000000003,32.525
5.227,34.677
39.454,69.75
0.275,32.939
0.579,36.305
0.431,31.356
28.692,86.544
0.9600000000000001,29.781
0.879,31.179
0.9520000000000001,30.487000000000002
0.38,31.433000000000003
5.7749999999999995,35.969
0.289,30.825000000000003
0.622,1967.001
0.378,78.928
0.705,387.64799999999997
3.061,68.552
0.7699999999999999,34.403999999999996
1.374,30.248
0.383,33.124
0.258,29.936
0.6849999999999999,33.062
0.261,34.702999999999996
0.457,34.493
1.1119999999999999,35.206
0.63,30.648000000000003
0.245,32.347
0.472,31.281000000000002
0.601,32.543
0.6920000000000001,31.143
6.203,40.122
0.6130000000000001,34.614
3.9579999999999997,37.44
5.836,36.74
0.308,33.401
0.629,29.459
6.52,40.217999999999996
0.28800000000000003,31.205000000000002
1.359,33.391
0.299,30.159
0.37,30.267
0.29300000000000004,29.069000000000003
0.285,30.771
1.3370000000000002,33.199
41.461,80.514
0.416,37.591
0.384,33.06
5.568,43.486999999999995
0.762,32.297
7.981,38.809999999999995
0.307,33.804
3.159,33.6
0.356,34.465
0.456,32.573
0.38699999999999996,32.109
0.27999999999999997,29.7
0.438,29.232
0.287,32.382
4.452,34.016
19.68,74.964
2.867,34.2
0.322,31.655
3.18,35.235
0.545,30.618
2.726,35.355
19.382,77.80499999999999
0.275,41.249
2.072,36.606
0.6809999999999999,32.998
7.015000000000001,39.078
8.213,42.076
18.415999999999997,95.28
0.355,33.277
0.41,38.003
0.294,32.794999999999995
0.26899999999999996,31.508000000000003
24.549000000000003,55.477
0.34099999999999997,32.044000000000004
2.9050000000000002,34.935
3.332,33.946
0.263,33.031
6.065,36.568000000000005
4.161,39.699
0.373,35.145999999999994
0.287,30.436999999999998
6.624,38.936
0.283,31.315
0.3,35.198
4.734999999999999,34.958000000000006
0.775,2037.401
1.2260000000000002,75.984
14.826,102.642
25.393,56.358
6.169,36.4
0.941,70.20899999999999
0.301,37.266
21.078,53.008
6.458,38.239000000000004
40.964,75.35799999999999
0.98,35.291999999999994
0.24899999999999997,34.797000000000004
0.397,33.232
24.315,57.965999999999994
3.3,37.504999999999995
0.862,30.749
1.012,73.737
0.923,2049.931
3.364,86.506
0.358,37.021
5.577999999999999,39.806000000000004
0.514,30.695
0.34099999999999997,31.415
8.24,37.54600000000001
5.741,36.759
21.866,54.733
0.277,33.868
0.399,32.625
3.097,88.752
1.1800000000000002,33.518
0.8360000000000001,28.084999999999997
0.71,28.94
0.28800000000000003,29.523
3.8899999999999997,37.028
11.364,43.624
0.735,32.385
40.952000000000005,94.466
0.64,33.357
0.388,30.33
0.35,34.219
4.395,41.67
0.501,31.4
0.44499999999999995,30.148999999999997
0.386,29.113
0.303,29.911
0.273,35.381
0.795,2011.825
0.32899999999999996,610.8240000000001
0.624,63.484
4.513,63.56
1.849,35.14
0.415,2074.714
0.7240000000000001,34.495
0.388,47.023
0.321,36.42
2.964,34.012
0.5630000000000001,31.169
0.528,31.726999999999997
2.69,40.787
0.687,34.11
5.098,38.349000000000004
0.34,36.153999999999996
0.29100000000000004,32.842000000000006
4.678,36.359
0.223,31.448999999999998
14.749,80.931
0.27999999999999997,33.550999999999995
7.473,2035.66
6.016,212.29600000000002
60.676,95.509
4.236,34.647
0.425,31.808999999999997
0.606,31.847
0.977,29.492
0.415,30.131
39.519999999999996,72.13300000000001
0.82,32.835
1.955,42.463
0.251,39.76
0.437,34.102000000000004
0.231,31.459
0.26899999999999996,29.675
0.366,32.008
3.565,88.285
7.756,39.443
11.554,42.945
0.389,32.231
0.381,29.481
2.8019999999999996,78.94500000000001
1.632,80.203
0.43600000000000005,32.798
4.149,37.597
1.014,31.435
1.036,35.691
3.024,36.127
0.378,36.005
2.5170000000000003,34.091
0.26699999999999996,31.066
0.464,29.985000000000003
2.7920000000000003,36.775000000000006
39.762,70.67099999999999
3.0460000000000003,34.995
0.277,31.965
0.46,34.467
0.262,30.276999999999997
0.352,30.05
0.367,31.975000000000005
2.859,33.603
3.143,35.873000000000005
0.38699999999999996,33.33
0.265,32.52
2.1029999999999998,34.704
4.5,41.058
0.34400000000000003,34.086999999999996
0.383,33.052
0.67,33.99400000000001
0.28600000000000003,31.035
0.365,35.824000000000005
3.089,34.788
0.40299999999999997,31.296999999999997
3.422,85.193
3.195,86.174
0.5950000000000001,33.06
8.293,41.028
3.137,38.04
3.686,38.275999999999996
0.25,29.323999999999998
0.415,39.834
20.439,55.697
0.47,38.197
5.622,41.552
20.755,56.053
0.339,34.722
5.283,76.80499999999999
0.747,32.721000000000004
0.41100000000000003,29.853
0.679,31.935
0.438,31.604
0.39399999999999996,36.486
0.297,32.836
0.36000000000000004,34.13
0.289,32.705999999999996
0.371,36.662
3.457,38.198
0.47800000000000004,32.047
40.428,74.405
8.538,41.363
0.359,32.01
21.79,87.862
0.333,30.290999999999997
0.6130000000000001,31.639
5.951,37.513
0.606,39.838
0.36200000000000004,35.765
0.28600000000000003,47.690000000000005
2.307,58.032000000000004
0.307,32.669999999999995
25.395999999999997,55.824
0.554,33.338
7.904,42.457
0.266,32.027
2.269,33.238
24.897,55.559999999999995
4.731,36.401999999999994
5.266,37.015
0.251,30.790000000000003
0.268,32.980000000000004
1.157,32.95
0.907,29.638
1.138,32.781
0.371,30.634
0.629,28.947
0.67,31.458
0.342,31.473000000000003
0.314,34.512
