Time to generate a test,Time to run a test
28.311,69.35900000000001
51.242999999999995,90.06
0.535,39.201
0.475,40.861000000000004
0.574,41.342
0.479,36.625
1.529,37.285
0.8630000000000001,37.81
0.571,37.046
0.486,37.506
1.1199999999999999,41.86900000000001
1.103,38.542
1.6980000000000002,38.404
2.384,88.548
0.438,40.879
0.734,36.873999999999995
7.151,1984.083
1.547,39.394999999999996
0.46099999999999997,45.524
0.36200000000000004,38.864999999999995
58.357,107.6
13.437,102.598
57.730999999999995,2119.444
5.41,73.798
0.345,42.78
0.9959999999999999,43.041000000000004
0.29500000000000004,41.173
25.017,67.968
3.233,45.801
14.572999999999999,82.355
17.172,75.74799999999999
0.565,43.903999999999996
5.1739999999999995,51.306999999999995
5.79,52.369
4.418,42.973
4.9750000000000005,43.951
1.97,39.317
0.32,38.066
7.815,50.001999999999995
0.36000000000000004,43.963
0.615,41.278
0.36200000000000004,41.163
0.342,45.468
58.138000000000005,98.615
13.495999999999999,54.141
1.751,37.798
0.46099999999999997,39.709
0.335,39.777
0.532,46.455000000000005
1.304,38.231
0.803,39.417
0.347,37.849000000000004
1.4220000000000002,47.488
5.0,51.793
0.6629999999999999,41.594
0.393,45.962999999999994
0.40499999999999997,38.868
6.62,43.185
0.865,37.667
7.073,48.486000000000004
2.7529999999999997,93.55
6.322,47.559
0.35300000000000004,39.19799999999999
2.2070000000000003,44.458
0.8310000000000001,39.023
0.32699999999999996,36.719
0.7739999999999999,38.961999999999996
0.355,38.653
0.8220000000000001,40.214
1.1360000000000001,75.563
8.596,49.214
0.28400000000000003,39.129999999999995
0.372,38.358999999999995
0.5469999999999999,39.897
1.609,49.446
0.307,42.558
0.434,41.278
5.46,46.498
0.477,42.833999999999996
5.643,46.912
0.364,40.349999999999994
3.146,2016.772
0.603,43.422000000000004
3.927,783.922
13.611,76.815
0.402,43.893
0.637,37.598
0.4,39.467
0.355,39.759
0.331,38.242
18.051000000000002,80.079
24.171000000000003,64.856
0.415,38.261
3.3440000000000003,42.366
0.8,39.711000000000006
0.371,44.515
3.371,45.344
0.339,39.385000000000005
5.835,47.396
0.339,40.542
5.886,44.57
6.514,47.407
3.697,47.622
10.918000000000001,49.175999999999995
0.34299999999999997,38.066
0.51,38.546
8.887,46.333
0.8180000000000001,40.201
0.372,38.655
29.066000000000003,70.845
6.146999999999999,45.656
0.422,36.377
0.296,38.468
3.094,40.074
24.377,62.699000000000005
45.409,82.592
0.465,40.32899999999999
0.513,37.034
1.027,37.875
0.584,1442.163
0.342,39.979
0.54,148.113
0.5599999999999999,219.631
17.41,96.66
0.516,44.873999999999995
7.109,52.18
0.36000000000000004,47.783
0.337,39.822
9.74,50.666000000000004
0.372,41.474
0.895,42.396
0.526,39.551
0.433,35.866
0.294,40.739999999999995
0.545,37.827
1.1820000000000002,39.595
1.259,38.482
0.331,42.418
0.332,39.028
0.46900000000000003,49.247
0.694,37.519
0.718,36.775000000000006
4.824,43.202999999999996
1.073,38.105
0.46599999999999997,39.897
1.209,38.397
1.356,38.336
0.877,40.933
0.29500000000000004,1709.416
0.34,333.142
5.309,533.335
7.7780000000000005,127.329
0.895,39.440000000000005
6.855,1712.9099999999999
0.6890000000000001,1660.721
1.296,831.291
0.321,60.483000000000004
1.782,1259.4950000000001
0.742,50.743
0.40900000000000003,270.99
1.717,73.948
0.429,43.086
0.40700000000000003,39.016000000000005
2.0500000000000003,41.417
0.455,39.794999999999995
0.337,40.904
0.517,40.728
3.16,89.35300000000001
21.256,70.43900000000001
0.332,37.392
0.451,36.352000000000004
0.7240000000000001,46.427
1.537,58.75
0.313,39.326
1.229,38.389
4.927,41.452000000000005
0.335,37.098
1.166,38.900999999999996
0.694,41.226
0.749,54.248999999999995
0.412,42.715
9.995000000000001,49.584
0.357,39.428
0.408,37.92100000000001
0.35,38.714
0.48000000000000004,37.822
26.669,69.855
6.542,2010.1740000000002
5.8069999999999995,697.075
15.921000000000001,86.537
2.16,83.12
0.524,40.063
1.02,39.848
26.450000000000003,73.48599999999999
0.312,38.467
3.731,41.126000000000005
1.866,92.348
5.356,44.791
0.319,49.544
2.921,42.635
0.32899999999999996,43.262
0.38699999999999996,41.005
4.039,42.416000000000004
2.645,44.871
0.8490000000000001,41.653999999999996
1.0250000000000001,39.443
32.595,1964.641
0.42000000000000004,173.44899999999998
3.9309999999999996,529.586
1.519,63.682
1.7619999999999998,64.80199999999999
0.583,43.29
0.521,44.142
5.314,44.094
2.6380000000000003,45.144999999999996
0.33,39.677
3.7169999999999996,43.191
0.32699999999999996,39.832
0.446,39.131
0.92,38.559000000000005
4.805000000000001,43.275
3.995,44.8
50.86,97.21000000000001
0.46,48.362
0.44499999999999995,44.221000000000004
10.005,47.213
0.449,38.062
32.52,70.409
5.8469999999999995,49.903999999999996
6.28,42.982
7.627,48.925000000000004
0.297,38.013999999999996
0.496,39.174
0.272,43.761
0.465,39.968999999999994
0.741,41.284
7.936,44.721
6.838,43.586
0.442,37.846
2.282,76.807
0.458,40.198
72.351,113.98899999999999
3.423,50.887
0.443,39.834
0.9319999999999999,40.539
0.441,41.583
3.941,42.744
6.505999999999999,44.136
0.429,37.064
0.287,41.118
4.112,41.129
0.709,38.023
0.404,39.343
0.339,38.961999999999996
0.447,38.201
6.601,44.201
0.531,39.702
27.979,66.69999999999999
0.356,37.649
3.5370000000000004,41.037
1.195,38.089999999999996
33.177,1577.9080000000001
0.41,176.726
0.29500000000000004,39.980000000000004
0.46599999999999997,40.117
6.641,74.684
0.587,117.152
1.03,37.628
0.5760000000000001,37.034
0.472,71.113
51.784,92.456
6.9319999999999995,44.312
0.5820000000000001,38.099000000000004
3.4659999999999997,103.623
3.7750000000000004,46.135000000000005
0.47300000000000003,41.529999999999994
0.838,40.255
0.354,45.747
0.49200000000000005,42.599
0.44499999999999995,39.428
28.668,71.327
0.38499999999999995,39.119
0.491,40.407
0.7919999999999999,38.719
0.5469999999999999,44.675
0.391,41.477
1.625,44.452
1.1199999999999999,40.845
0.8630000000000001,38.788999999999994
0.723,63.499
7.917999999999999,51.297000000000004
0.94,44.132
5.063,45.047
0.465,53.824
0.46599999999999997,62.84199999999999
9.804,54.412
0.467,40.051
0.45199999999999996,47.747
0.33599999999999997,43.96
0.297,39.272
0.323,36.257999999999996
1.077,38.694
0.354,36.591
7.659,46.235
0.41800000000000004,39.676
0.335,46.713
0.323,37.941
0.612,40.120000000000005
1.996,49.039
0.821,39.845
0.29500000000000004,41.620999999999995
0.484,41.376000000000005
0.331,45.102000000000004
1.216,39.07
0.467,37.378
4.67,43.039
0.58,36.814
0.373,38.754
0.9129999999999999,39.364000000000004
0.402,41.177
7.481,47.714
0.35,35.733000000000004
1.432,38.477
0.423,40.650999999999996
1.117,40.423
0.316,38.438
1.335,552.581
1.6019999999999999,369.67100000000005
1.496,110.27499999999999
7.854,46.087999999999994
0.397,39.861
1.276,39.440000000000005
0.625,36.532000000000004
0.408,40.168
0.484,39.661
0.761,163.053
1.45,70.91699999999999
0.9259999999999999,39.0
1.841,45.13699999999999
0.8019999999999999,98.785
8.022,48.419999999999995
7.953999999999999,108.018
6.475,48.614
1.2979999999999998,48.876000000000005
0.625,43.03
0.352,42.242000000000004
0.355,41.535999999999994
3.019,116.713
2.589,45.448
0.504,44.106
0.915,47.093999999999994
5.809,2009.5290000000002
5.596,724.097
17.483999999999998,81.14699999999999
3.129,49.263
8.848999999999998,50.236000000000004
6.271,92.856
0.867,41.931999999999995
3.1809999999999996,41.783
1.029,42.925
0.6679999999999999,37.112
0.361,41.959
25.105,97.307
2.2030000000000003,44.41
0.467,41.946999999999996
0.33599999999999997,39.554
5.745,41.944
28.982999999999997,67.789
1.05,48.571000000000005
7.38,79.18
23.060000000000002,84.90100000000001
5.241,45.078
0.374,40.355000000000004
